Edesa/Frontera	7.Cafayate	1.Capital	2.Güemes	5.J V González	10.La Candelaria	6.Metán	3.Orán	8.S A Cobres	9.S Aislados	4.Tartagal	11.Valle de Lerma	Total						
02/2002	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
03/2002	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
04/2002	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
05/2002	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
06/2002	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
07/2002	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
08/2002	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   		
09/2002	 -   	 -   	 -   	 -   	 -   	 -   	 0.235 	 -   	 -   	 -0.235 	 -   	 -   		
10/2002	 -   	 -   	 -   	 -   	 -   	 -   	 0.277 	 -   	 -   	 -0.277 	 -   	 0.000000 		
11/2002	 -   	 -   	 -   	 -   	 -   	 -   	 0.253 	 -   	 -   	 -0.253 	 -   	 -   		
12/2002	 -   	 -   	 -   	 -   	 -   	 -   	 0.263 	 -   	 -   	 -0.263 	 -   	 -   		
01/2003	 -   	-1.775	 -   	 -   	 -   	 -   	 0.267 	 -   	 -   	 -0.267 	1.77504	 -   		
02/2003	 -   	-1.955	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	1.95456	 -   		
03/2003	 -   	-1.633	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	1.63296	 -   		
04/2003	 -   	-0.870	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	0.86976	 -   		
05/2003	 -   	-2.076	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	2.07600	 -   		
06/2003	 -   	-2.745	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	2.74464	 -   		
07/2003	 -   	-3.400	 -   	 -   	 -   	 -   	0.497	 -   	 -   	-0.497	3.400	 -   		
08/2003	 -   	-2.656	 -   	 -   	 -   	 -   	0.360	 -   	 -   	-0.360	2.656	 -   		
09/2003	 -   	-3.160	 -   	 -   	 -   	 -   	0.384	 -   	 -   	-0.384	3.160	 -   		
10/2003	 -   	-3.485	 -   	 -   	 -   	 -   	0.360	 -   	 -   	-0.360	3.485	 -   		
11/2003	 -   	-2.909	 -   	 -   	 -   	 -   	0.336	 -   	 -   	-0.336	2.909	 -   		
12/2003	 -   	-1.784	 -   	 -   	 -   	 -   	0.451	 -   	 -   	-0.451	1.784	 -   	
01/2004	 -   	-1.863	 -   	 -   	 -   	 -   	0.492	 -   	 -   	-0.492	1.863	 -   	
02/2004	 -   	-3.810	 -   	 -   	 -   	 -   	0.612	 -   	 -   	-0.612	3.810	 -   	
03/2004	 -   	-0.534	 -   	 -   	 -   	 -   	0.480	 -   	 -   	-0.480	0.534	 -   	
04/2004	 -   	-1.196	 -   	 -   	 -   	 -   	0.540	 -   	 -   	-0.540	1.196	 -   	
05/2004	 -   	-1.958	 -   	 -   	 -   	 -   	0.300	 -   	 -   	-0.300	1.958	 -   	
06/2004	 -   	-2.880	 -   	 -   	 -   	 -   	0.444	 -   	 -   	-0.444	2.880	 -   	
07/2004	 -   	-3.514	 -   	 -   	 -   	 -   	0.564	 -   	 -   	-0.564	3.514	 -   	
08/2004	 -   	-4.025	 -   	 -   	 -   	 -   	0.564	 -   	 -   	-0.564	4.025	 -   	
09/2004	 -   	-3.197	 -   	 -   	 -   	 -   	0.300	 -   	 -   	-0.300	3.197	 -   	
10/2004	 -   	-3.698	 -   	 -   	 -   	 -   	-0.100	 -   	 -   	0.100	3.698	 -   	
11/2004	 -   	-3.419	 -   	 -   	 -   	 -   	0.420	 -   	 -   	-0.420	3.419	 -   	
12/2004	 -   	-2.003	 -   	 -   	 -   	 -   	0.552	 -   	 -   	-0.552	2.003	 -   	
01/2005	 -   	-3.081	 -   	 -   	 -   	 -   	0.552	 -   	 -   	-0.552	3.081	 -   	
02/2005	 -   	-3.035	 -   	 -   	 -   	 -   	0.396	 -   	 -   	-0.396	3.035	 -   	
03/2005	 -   	-2.760	 -   	 -   	 -   	 -   	0.432	 -   	 -   	-0.432	2.760	 -   	
04/2005	 -   	-1.898	 -   	 -   	 -   	 -   	0.480	 -   	 -   	-0.480	1.898	 -   	
05/2005	 -   	-2.914	 -   	 -   	 -   	 -   	0.132	 -   	 -   	-0.132	2.914	 -   	
06/2005	 -   	-3.520	 -   	 -   	 -   	 -   	0.288	 -   	 -   	-0.288	3.520	 -   	
07/2005	 -   	-4.370	 -   	 -   	 -   	 -   	0.288	 -   	 -   	-0.288	4.370	 -   	
08/2005	 -   	-4.172	 -   	 -   	 -   	 -   	0.300	 -   	 -   	-0.300	4.172	 -   	
09/2005	 -   	-3.508	 -   	 -   	 -   	 -   	0.360	 -   	 -   	-0.360	3.508	 -   	
10/2005	 -   	-3.684	 -   	 -   	 -   	 -   	0.288	 -   	 -   	-0.288	3.684	 -   	
11/2005	 -   	-3.804	 -   	 -   	 -   	 -   	0.372	 -   	 -   	-0.372	3.804	 -   	
12/2005	 -   	-2.121	 -   	 -   	 -   	 -   	0.420	 -   	 -   	-0.420	2.121	 -   	
01/2006	 -   	-2.161	 -   	 -   	 -   	 -   	0.216	 -   	 -   	-0.216	2.161	 -   	
02/2006	 -   	-3.773	 -   	 -   	 -   	 -   	0.372	 -   	 -   	-0.372	3.773	 -   	
03/2006	 -   	-2.949	 -   	 -   	 -   	 -   	0.360	 -   	 -   	-0.360	2.949	 -   	
04/2006	 -   	1.113	 -   	 -   	 -   	 -   	0.408	 -   	 -   	-0.408	-1.113	 -   	
05/2006	 -   	-0.437	 -   	 -   	 -   	 -   	0.348	 -   	 -   	-0.348	0.437	 -   	
06/2006	 -   	-1.728	 -   	 -   	 -   	 -   	0.420	 -   	 -   	-0.420	1.728	 -   	
07/2006	 -   	-2.533	 -   	 -   	 -   	 -   	0.360	 -   	 -   	-0.360	2.533	 -   	
08/2006	 -   	-2.698	 -   	 -   	 -   	 -   	0.408	 -   	 -   	-0.408	2.698	 -   	
09/2006	 -   	-2.077	 -   	 -   	 -   	 -   	0.588	 -   	 -   	-0.588	2.077	 -   	
10/2006	 -   	-2.430	 -   	 -   	 -   	 -   	0.468	 -   	 -   	-0.468	2.430	 -   	
11/2006	 -   	-2.128	 -   	 -   	 -   	 -   	0.384	 -   	 -   	-0.384	2.128	 -   	
12/2006	 -   	-1.181	 -   	 -   	 -   	 -   	0.504	 -   	 -   	-0.504	1.181	 -   	
01/2007	 -   	0.717	 -   	 -   	 -   	 -   	0.480	 -   	 -   	-0.480	-0.717	 -   	
02/2007	 -   	-0.945	 -   	 -   	 -   	 -   	0.468	 -   	 -   	-0.468	0.945	 -   	
03/2007	 -   	0.842	 -   	 -   	 -   	 -   	0.384	 -   	 -   	-0.384	-0.842	 -   	
04/2007	 -   	-0.013	 -   	 -   	 -   	 -   	0.492	 -   	 -   	-0.492	0.013	 -   	
05/2007	 -   	-2.125	 -   	 -   	 -   	 -   	0.432	 -   	 -   	-0.432	2.125	 -   	
06/2007	 -   	-3.030	 -   	 -   	 -   	 -   	0.348	 -   	 -   	-0.348	3.030	 -   	
07/2007	 -   	-3.373	 -   	 -   	 -   	 -   	0.396	 -   	 -   	-0.396	3.373	 -   	
08/2007	 -   	-3.495	 -   	 -   	 -   	 -   	0.444	 -   	 -   	-0.444	3.495	 -   	
09/2007	 -   	-2.403	 -   	 -   	 -   	 -   	0.396	 -   	 -   	-0.396	2.403	 -   	
10/2007	 -   	-2.553	 -   	 -   	 -   	 -   	0.552	 -   	 -   	-0.552	2.553	 -   	
11/2007	 -   	-3.066	 -   	 -   	 -   	 -   	0.756	 -   	 -   	-0.756	3.066	 -   	
12/2007	 -   	-2.666	 -   	 -   	 -   	 -   	0.564	 -   	 -   	-0.564	2.666	 -   
01/2008	 -   	-1.628	 -   	 -   	 -   	 -   	0.444	 -   	 -   	-0.444	1.628	 -   
02/2008	 -   	-1.864	 -   	 -   	 -   	 -   	0.468	 -   	 -   	-0.468	1.864	 -   
03/2008	 -   	-1.783	 -   	 -   	 -   	 -   	0.324	 -   	 -   	-0.324	1.783	 -   
04/2008	 -   	-1.092	 -   	 -   	 -   	 -   	0.504	 -   	 -   	-0.504	1.092	 -   
05/2008	 -   	-3.023	 -   	 -   	 -   	 -   	0.468	 -   	 -   	-0.468	3.023	 -   
06/2008	 -   	-3.731	 -   	 -   	 -   	 -   	0.492	 -   	 -   	-0.492	3.731	 -   
07/2008	 -   	-3.981	 -   	 -   	 -   	 -   	0.000	 -   	 -   	0.000	3.981	 -   
08/2008	 -   	-3.578	 -   	 -   	 -   	 -   	0.516	 -   	 -   	-0.516	3.578	 -   
09/2008	 -   	-3.500	 -   	 -   	 -   	 -   	0.912	 -   	 -   	-0.912	3.500	 -   
10/2008	 -   	-3.910	 -   	 -   	 -   	 -   	1.416	 -   	 -   	-1.416	3.910	 -   
11/2008	 -   	-3.762	 -   	 -   	 -   	 -   	0.456	 -   	 -   	-0.456	3.762	 -   
12/2008	 -   	-1.452	 -   	 -   	 -   	 -   	0.672	 -   	 -   	-0.672	1.452	 -   
01/2009	 -   	-1.413	 -   	 -   	 -   	 -   	0.444	 -   	 -   	-0.444	1.413	 -   
02/2009	 -   	-1.468	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	1.468	 -   
03/2009	 -   	-0.129	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	0.129	 -   
04/2009	 -   	1.468	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	-1.468	 -   
05/2009	 -   	-1.027	 -   	 -   	 -   	 -   	 0.012 	 -   	 -   	 -0.012 	1.027	 -   
06/2009	 -   	-3.618	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	3.618	 -   
07/2009	 -   	-4.792	 -   	 -   	 -   	 -   	 0.012 	 -   	 -   	 -0.012 	4.792	 -   
08/2009	 -   	-4.417	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	4.417	 -   
09/2009	 -   	-4.417	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	4.417	 -   
10/2009	 -   	-4.609	 -   	 -   	 -   	 -   	 0.492 	 -   	 -   	 -0.492 	4.609	 -   
11/2009	 -   	-4.518	 -   	 -   	 -   	 -   	 0.216 	 -   	 -   	 -0.216 	4.518	 -   
12/2009	 -   	-0.752	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	0.752	 -   
01/2010	 -   	-0.994	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	0.994	 -   
02/2010	 -   	 -4.034 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 4.034 	 -   
03/2010	 -   	 -1.778 	 -   	 -   	 -   	 -   	 0.012 	 -   	 -   	 -0.012 	 1.778 	 -   
04/2010	 -   	 -0.491 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 0.491 	 -   
05/2010	 -   	 -1.645 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1.645 	 -   
06/2010	 -   	 -2.844 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 2.844 	 -   
07/2010	 -   	 -3.554 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 3.554 	 -   
08/2010	 -   	 -3.266 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 3.266 	 -   
09/2010	 -   	 -2.950 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 2.950 	 -   
10/2010	 -   	 -3.158 	 -   	 -   	 -   	 -   	 0.024 	 -   	 -   	 -0.024 	 3.158 	 -   
11/2010	 -   	 -3.472 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 3.472 	 -   
12/2010	 -   	 -4.344 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 4.344 	 -   
01/2011	 -   	 -2.952 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 2.952 	 -   
02/2011	 -   	 -4.996 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 4.996 	 -   
